,Domain Code,Area Code,Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description
0,QCL,79,Germany,5312,Area harvested,1717,"Cereals, Total",1961,1961,ha,7138919,A,"Aggregate, may include official, semi-official, estimated or calculated data"
8,QCL,79,Germany,5510,Production,1717,"Cereals, Total",1963,1963,tonnes,20970320,A,"Aggregate, may include official, semi-official, estimated or calculated data"
9,QCL,79,Germany,5312,Area harvested,1717,"Cereals, Total",1964,1964,ha,7285822,A,"Aggregate, may include official, semi-official, estimated or calculated data"
10,QCL,79,Germany,5419,Yield,1717,"Cereals, Total",1964,1964,hg/ha,31208,Fc,Calculated data
11,QCL,79,Germany,5510,Production,1717,"Cereals, Total",1964,1964,tonnes,22737326,A,"Aggregate, may include official, semi-official, estimated or calculated data"
12,QCL,79,Germany,5312,Area harvested,1717,"Cereals, Total",1965,1965,ha,7229500,A,"Aggregate, may include official, semi-official, estimated or calculated data"
13,QCL,79,Germany,5419,Yield,1717,"Cereals, Total",1965,1965,hg/ha,28522,Fc,Calculated data
14,QCL,79,Germany,5510,Production,1717,"Cereals, Total",1965,1965,tonnes,20620142,A,"Aggregate, may include official, semi-official, estimated or calculated data"
15,QCL,79,Germany,5312,Area harvested,1717,"Cereals, Total",1966,1966,ha,7207233,A,"Aggregate, may include official, semi-official, estimated or calculated data"
16,QCL,79,Germany,5419,Yield,1717,"Cereals, Total",1966,1966,hg/ha,28780,Fc,Calculated data
17,QCL,79,Germany,5510,Production,1717,"Cereals, Total",1966,1966,tonnes,20742474,A,"Aggregate, may include official, semi-official, estimated or calculated data"
18,QCL,79,Germany,5312,Area harvested,1717,"Cereals, Total",1967,1967,ha,7286316,A,"Aggregate, may include official, semi-official, estimated or calculated data"
19,QCL,79,Germany,5419,Yield,1717,"Cereals, Total",1967,1967,hg/ha,34833,Fc,Calculated data
20,QCL,79,Germany,5510,Production,1717,"Cereals, Total",1967,1967,tonnes,25380099,A,"Aggregate, may include official, semi-official, estimated or calculated data"
21,QCL,79,Germany,5312,Area harvested,1717,"Cereals, Total",1968,1968,ha,7431223,A,"Aggregate, may include official, semi-official, estimated or calculated data"
22,QCL,79,Germany,5419,Yield,1717,"Cereals, Total",1968,1968,hg/ha,36196,Fc,Calculated data
